LOCATION	Country	SUBJECT	Subject	MEASURE	Measure	TIME	Time	Unit Code	Unit	PowerCode Code	PowerCode	Reference Period Code	Reference Period	Value	Flag Codes	Flags
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1971	1971	NATCUR	National currency	0	Units			8026.160461		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1972	1972	NATCUR	National currency	0	Units			8845.762532		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1973	1973	NATCUR	National currency	0	Units			10433.312514		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1974	1974	NATCUR	National currency	0	Units			12069.188092		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1975	1975	NATCUR	National currency	0	Units			14172.229533		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1976	1976	NATCUR	National currency	0	Units			16141.497115		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1977	1977	NATCUR	National currency	0	Units			17467.298003		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1978	1978	NATCUR	National currency	0	Units			19785.624659		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1979	1979	NATCUR	National currency	0	Units			21921.782295		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1980	1980	NATCUR	National currency	0	Units			24172.337431		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1981	1981	NATCUR	National currency	0	Units			27540.17979		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1982	1982	NATCUR	National currency	0	Units			30199.836233		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1983	1983	NATCUR	National currency	0	Units			33763.501055		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1984	1984	NATCUR	National currency	0	Units			36087.608262		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1985	1985	NATCUR	National currency	0	Units			38351.573992		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1986	1986	NATCUR	National currency	0	Units			41082.531936		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1987	1987	NATCUR	National currency	0	Units			45282.484299		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1988	1988	NATCUR	National currency	0	Units			49210.667023		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1989	1989	NATCUR	National currency	0	Units			52108.320453		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1990	1990	NATCUR	National currency	0	Units			53900.348325		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1991	1991	NATCUR	National currency	0	Units			55457.975856		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1992	1992	NATCUR	National currency	0	Units			58292.44856		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1993	1993	NATCUR	National currency	0	Units			59381.956791		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1994	1994	NATCUR	National currency	0	Units			60685.458152		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1995	1995	NATCUR	National currency	0	Units			63713.150343		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1996	1996	NATCUR	National currency	0	Units			66776.056455		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1997	1997	NATCUR	National currency	0	Units			69418.122255		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1998	1998	NATCUR	National currency	0	Units			72145.767526		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	1999	1999	NATCUR	National currency	0	Units			74644.333485		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2000	2000	NATCUR	National currency	0	Units			78446.873387		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2001	2001	NATCUR	National currency	0	Units			82715.494392		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2002	2002	NATCUR	National currency	0	Units			85554.72706		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2003	2003	NATCUR	National currency	0	Units			90564.57921		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2004	2004	NATCUR	National currency	0	Units			93859.708506		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2005	2005	NATCUR	National currency	0	Units			99030.992526		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2006	2006	NATCUR	National currency	0	Units			104464.29435		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2007	2007	NATCUR	National currency	0	Units			110247.26147		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2008	2008	NATCUR	National currency	0	Units			116852.83405		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2009	2009	NATCUR	National currency	0	Units			118901.82307		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2010	2010	NATCUR	National currency	0	Units			126641.21735		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2011	2011	NATCUR	National currency	0	Units			131640.81996		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2012	2012	NATCUR	National currency	0	Units			133701.60297		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2013	2013	NATCUR	National currency	0	Units			138362.74078		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2014	2014	NATCUR	National currency	0	Units			137776.61065		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2015	2015	NATCUR	National currency	0	Units			138145.91562		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2016	2016	NATCUR	National currency	0	Units			143539.73634		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2017	2017	NATCUR	National currency	0	Units			146595.06343		
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2018	2018	NATCUR	National currency	0	Units			151232.05232	E	Estimated value
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2019	2019	NATCUR	National currency	0	Units			153147.90019	E	Estimated value
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2020	2020	NATCUR	National currency	0	Units			158868.69514	E	Estimated value
AUS	Australia	T_GDPEMP	GDP per person employed	C	National currency, current prices	2021	2021	NATCUR	National currency	0	Units			170135.55388	E	Estimated value
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	CPC	USD, current prices, current PPPs	1970	1970	USD	US Dollar	6	Millions			58858.348		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	CPC	USD, current prices, current PPPs	1971	1971	USD	US Dollar	6	Millions			64135.621		
